place_id,place_name,latitude,longitude,category,subcategory,address,rating,rating_normalized,tags,source,osm_id,website,phone,opening_hours,cuisine,description,wheelchair,fee,image,is_free,is_open_24h,price_level,category_label
OPE_281844133,Amruteshwar Mandir,18.506414,73.83295,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,281844133,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_282054945,Amruteshwar Mandir,18.520753,73.85345,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,282054945,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Category:Amruteshwar Temple Complex, Pune",False,False,budget,Tourist Attraction
OPE_258099111,Anand Park,18.581188,73.88295,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,258099111,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_654269688,Anand Udyan,18.556366,73.804897,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,654269688,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_737078266,Anandvan,18.478645,73.909281,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,737078266,N/A,N/A,Mo-Su 5:00-12:00,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_1177479923,Anjuman Faizul Islam Masjid,18.575941,73.893569,tourist_attraction,place_of_worship,"Tingre Nagar, Pune, 411032",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,1177479923,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_448097850,Annabhau Udyan,18.620096,73.840685,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,448097850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_556161065,Anusaya Lonkar Park Wanworie,18.480328,73.901956,tourist_attraction,park,"Narayan Annaji Shinde Road, Pune",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,556161065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_4973806548,Aranyeshwar Temple,18.485578,73.852631,tourist_attraction,place_of_worship,"Aranyeshwar Road, Pune, 411009",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,4973806548,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_630478560,Aruna Asaffali Garden,18.492813,73.863083,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,630478560,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_12270088959,Aryabhata,18.559268,73.825328,tourist_attraction,artwork,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,12270088959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_6577541380,Asawari Garden And Club House,18.457993,73.784633,tourist_attraction,garden,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,6577541380,N/A,N/A,N/A,N/A,N/A,N/A,no,N/A,True,False,budget,Tourist Attraction
OPE_10171128086,Asd,18.525978,73.883875,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,10171128086,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_4336624350,Ashoka Pillar,18.461066,73.759082,tourist_attraction,monument,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,4336624350,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_282961089,Ashtabhuja Mandir,18.51723,73.846558,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,282961089,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Category:Ashtabhuja Durga Temple,False,False,budget,Tourist Attraction
OPE_1458968972,Atamalingeshwar Temple,18.582421,73.85409,tourist_attraction,place_of_worship,Pune,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,1458968972,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_5921458593,Athashri Temple,18.549093,73.789762,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,5921458593,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_5315970021,Atul Electroformers,18.497126,73.859075,tourist_attraction,artwork,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,5315970021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_706660670,Avatar Meher Baba Pune Centre,18.520833,73.866045,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,706660670,http://meherpunecentre.org/,+91 20 2606 7846,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_4547335090,Ayappa Temple,18.560846,73.838702,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,4547335090,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_469436401,Ayyappa Temple,18.547642,73.92582,tourist_attraction,place_of_worship,"Mahadev Nagar, Vadgaon Sheri, Pune, 411014",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,469436401,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_13629390547,Ayyappa Temple,18.586397,73.888143,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,13629390547,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_863476893,Babubhai Garden,18.490743,73.862706,tourist_attraction,park,Pune,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,863476893,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_365664651,Bagban Masjid,18.513097,73.86122,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,365664651,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_10173004113,Bagbban Masjid,18.513102,73.861209,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,10173004113,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_2273608804,Bajirao I Statue,18.520627,73.855308,tourist_attraction,artwork,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,2273608804,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
