place_id,place_name,latitude,longitude,category,subcategory,address,rating,rating_normalized,tags,source,osm_id,website,phone,opening_hours,cuisine,description,wheelchair,fee,image,is_free,is_open_24h,price_level,category_label
OPE_9987763074,Casuals,18.596289,73.773531,shopping,clothes,N/A,N/A,,shopping|retail|market,openstreetmap,9987763074,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_359539512,Central Mall,18.632486,73.800948,shopping,mall,N/A,N/A,,shopping|retail|market,openstreetmap,359539512,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_149110266,Centro Mall,18.534457,73.838618,shopping,mall,University Road,N/A,,shopping|retail|market,openstreetmap,149110266,N/A,N/A,N/A,N/A,N/A,yes,N/A,N/A,False,False,budget,Shopping
OPE_207872421,Centro Mall,18.510454,73.838599,shopping,mall,"MSM PARANJAPE MALL, OFF KARVE ROAD, NEAR MES COLLEGE, Pune, Maharashtra 411004",N/A,,shopping|retail|market,openstreetmap,207872421,https://centralandme.com/,N/A,"Mo-Fr 11:30-21:30; Sa, Su 11:00-22:00",N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_12484474301,Champion,18.566261,73.807226,shopping,clothes,N/A,N/A,,shopping|retail|market,openstreetmap,12484474301,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_2273735907,Champion,18.516233,73.84151,shopping,clothes,N/A,N/A,,shopping|retail|market,openstreetmap,2273735907,N/A,N/A,N/A,N/A,N/A,no,N/A,N/A,False,False,budget,Shopping
OPE_9216057495,Chetana Super Market,18.474561,73.813853,shopping,supermarket,"Sun Paradise Phase 1, Suncity Road, pune, 411051",N/A,,shopping|retail|market,openstreetmap,9216057495,N/A,N/A,Mo-Su 08:00-22:00,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_10304968553,Chinchwad Gaon Bhaji Mandai,18.629369,73.780367,shopping,marketplace,N/A,N/A,,shopping|retail|market,openstreetmap,10304968553,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_763455220,Chitale,18.557592,73.805522,shopping,supermarket,N/A,N/A,,shopping|retail|market,openstreetmap,763455220,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_359752437,City Mall,18.541405,73.830713,shopping,mall,N/A,N/A,,shopping|retail|market,openstreetmap,359752437,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
